@relation EXAMPLE
@attribute drawnFaceCount numeric
@attribute realFaceCount numeric
@attribute darkColorCount numeric
@attribute brightColorCount numeric
@attribute contrast numeric
@attribute homogeneity numeric
@attribute  dissimilarity numeric
@attribute energy numeric
@attribute imgType {real,cartoon}
@data
1,0,2,7,37476110,274364.258982,2633666,23954.3180867,real
1,0,6,3,1216128,122548.360573,179968,42644.0191586,real
0,0,1,8,94239480,152429.689041,2115468,30616.7721519,real
1,0,2,7,23892849,61698.5346194,1062435,5153.54033651,real
1,0,4,5,8656456,17988.9675651,330064,2757.85242535,real
0,0,2,7,27716738,64342.9342972,1243904,5110.17201276,real
0,0,3,6,105027759,27582.7361265,1545923,2312.14445915,real
0,0,3,6,18683173,20067.6422832,438651,5148.53027572,real
2,0,2,7,19613721,493139.667961,1871691,34201.6323587,real
1,0,1,8,24902159,414178.259391,1687685,36809.9558,real
0,0,4,5,12664895,42633.9140969,660599,4924.02051174,real
1,0,3,6,1912763,180712.169148,286111,15347.2529138,real
1,0,2,7,126071628,423075.678441,4956234,56946.0390809,real
2,0,3,6,30925087,6993.67909432,721057,659.131246415,real
1,0,4,5,21769692,17872.0880255,491738,6562.77487043,real
2,0,2,7,6591804,710252.605527,807360,69280.3789972,real
1,0,2,7,30550064,9015.60852394,722910,1283.57235869,real
0,0,5,4,40221727,78714.7259969,1117571,41977.9003048,real
